"","ID","Month","Month.Clutch","Laid","Hatched","Reef","Treatment","expt.x","FSL.1","FSL.2","FSL","MSL.1","MSL.2","MSL","MDSL","FDSL","Prophatch","Anemone.ID","Clutch.Age","M.tend","Age","expt.y","OLRE"
"149",496,"2",2,465,175,"Bob's","F","Y",58.5,60,59.25,46.2,47.7,46.95,"1.5",1.5,0.376344086021505,496,7,11.46493333,"Late","Y",149
"150",498,"1",1,374,269,"Bob's","M","Y",58.4,59.3,58.85,43,43.1,43.05,"0.1",0.9,0.719251336898396,498,6,14.71351667,"Late","Y",150
"151",498,"1",2,297,255,"Bob's","M","Y",58.4,59.3,58.85,43,43.1,43.05,"0.1",0.9,0.858585858585859,498,6,14.65233333,"Late","Y",151
"152",499,"1",1,440,329,"Bob's","F","Y",62,62.2,62.1,47.5,48,47.75,"0.5",0.2,0.747727272727273,499,6,10.4903,"Late","Y",152
"153",499,"1",2,450,367,"Bob's","F","Y",62,62.2,62.1,47.5,48,47.75,"0.5",0.2,0.815555555555556,499,6,11.34863333,"Late","Y",153
"154",499,"2",1,586,412,"Bob's","F","Y",62,62.2,62.1,47.5,48,47.75,"0.5",0.2,0.703071672354949,499,7,14.15985,"Late","Y",154
"155",501,"1",1,204,122,"Bob's","M","Y",56,56.3,56.15,47.7,47.8,47.75,"0.1",0.3,0.598039215686274,501,6,12.32118333,"Late","Y",155
"156",511,"1",1,218,202,"First","C","Y",49.1,48.4,48.75,38.1,37.6,37.85,"-0.5",-0.7,0.926605504587156,511,6,11.85391667,"Late","Y",156
"157",511,"1",2,247,229,"First","C","Y",49.1,48.4,48.75,38.1,37.6,37.85,"-0.5",-0.7,0.927125506072874,NA,NA,NA,NA,NA,157
"158",511,"2",1,323,261,"First","C","Y",49.1,48.4,48.75,38.1,37.6,37.85,"-0.5",-0.7,0.808049535603715,511,7,13.80481667,"Late","Y",158
"159",511,"2",2,226,201,"First","C","Y",49.1,48.4,48.75,38.1,37.6,37.85,"-0.5",-0.7,0.889380530973451,511,6,9.736883333,"Late","Y",159
"160",514,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514,7,14.7865,"Late","Y",160
"161",514,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,514,7,14.7865,"Late","Y",161
"162",515,"1",1,111,51,"Gava 1","C","Y",51.3,52,51.65,43.8,44,43.9,"0.2",0.7,0.459459459459459,515,7,9.726066667,"Late","Y",162
"163",515,"2",1,225,158,"Gava 1","C","Y",51.3,52,51.65,43.8,44,43.9,"0.2",0.7,0.702222222222222,515,6,13.70346667,"Late","Y",163
"164",517,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,517,6,11.60635,"Late","Y",164
"165",517,"1",2,202,113,"Gava 1","M","Y",51.5,51.2,51.35,38.2,NA,38.2,"#VALUE!",-0.3,0.559405940594059,517,7,9.8242,"Late","Y",165
"166",518,"1",1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,518,7,6.299133333,"Late","Y",166
"167",518,"1",2,69,25,"Gava 1","F","Y",45,45.2,45.1,36.3,37.2,36.75,"0.9",0.2,0.36231884057971,518,7,8.612483333,"Late","Y",167
"168",518,"2",1,81,38,"Gava 1","F","Y",45,45.2,45.1,36.3,37.2,36.75,"0.9",0.2,0.469135802469136,NA,NA,NA,NA,NA,168
"169",518,"2",2,56,55,"Gava 1","F","Y",45,45.2,45.1,36.3,37.2,36.75,"0.9",0.2,0.982142857142857,518,6,11.39001667,"Late","Y",169
"170",519,"1",1,151,135,"Gava 1","M","Y",50.5,51,50.75,41.2,40.7,40.95,"-0.5",0.5,0.894039735099338,519,6,7.184833333,"Late","Y",170
"171",519,"1",2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,519,7,12.99368333,"Late","Y",171
"172",519,"1",3,296,167,"Gava 1","M","Y",50.5,51,50.75,41.2,40.7,40.95,"-0.5",0.5,0.564189189189189,519,7,7.657333333,"Late","Y",172
"173",519,"2",2,415,390,"Gava 1","M","Y",50.5,51,50.75,41.2,40.7,40.95,"-0.5",0.5,0.939759036144578,519,7,13.491,"Late","Y",173
"174",519,"2",3,352,302,"Gava 1","M","Y",50.5,51,50.75,41.2,40.7,40.95,"-0.5",0.5,0.857954545454545,519,7,9.60075,"Late","Y",174
"175",529,"1",2,333,226,"Luba","C","Y",54,54.5,54.25,41.9,42.7,42.3,"0.8",0.5,0.678678678678679,529,7,13.7626,"Late","Y",175
