"","ID","Month","Treatment","Hatch","OLRE","M.tend","Laid"
"302",584,1,"M",114,146,14.0769,159
"307",585,1,"F",263,147,14.84001667,136
"308",585,1,"F",263,148,14.78383333,152
"311",585,2,"F",346,149,12.2827,186
"312",585,2,"F",346,150,13.83873333,171
"314",590,1,"M",235,151,14.70728333,312
"316",590,1,"M",235,152,10.09593333,89
"317",590,2,"M",513,153,12.73093333,394
"318",590,2,"M",513,154,13.7943,312
"321",600,2,"M",67,155,8.709916667,258
"324",602,1,"F",348,156,14.64763333,463
"326",602,1,"F",348,157,14.63056667,416
"327",602,2,"F",755,158,14.74891667,402
"329",602,2,"F",755,159,14.98651667,671
"332",604,2,"C",259,160,7.768016667,165
"334",607,1,"F",121,161,13.15348333,321
"335",607,1,"F",121,162,7.21145,114
"338",608,2,"C",338,163,11.02688333,378
"341",609,1,"C",405,164,12.28675,501
"344",609,2,"C",149,165,13.75255,213
"345",610,1,"C",611,166,11.73268333,262
"348",610,2,"C",965,167,13.27368333,275
"350",610,2,"C",965,168,12.5204,443
