"","Anemone.ID","Month","Month.Clutch","Treatment","Reef.ID","Date","Time","Clutch.Age","M.tend","F.tend","Conflict.M","Conflict.F","Actual.Observer","Manipulation","Age","Laid","ID","expt","FSL.1","FSL.2","FSL","MSL.1","MSL.2","MSL","MDSL","FDSL"
"32",355,"2",1,"C","Hanging 1","7/22/2018",8,3,11.04396667,1.41335,0,0,"M","7/14/2018","Early",246,355,"Y",55.3,54.4,54.85,43.5,44.2,43.85,"0.7",-0.9
"33",355,"2",1,"C","Hanging 1","7/26/2018",12,7,10.79926667,0.737933333,0,0,"M","7/14/2018","Late",246,355,"Y",55.3,54.4,54.85,43.5,44.2,43.85,"0.7",-0.9
"34",356,"1",2,"M","Hanging 1","7/10/2018",27,7,10.5726,1.382266667,0,0,"M","6/13/2018","Late",227,356,"Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4
"35",356,"2",1,"M","Hanging 1","7/18/2018",4,3,10.47795,3.254583333,0,0,"M","7/14/2018","Early",121,356,"Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4
"36",356,"2",1,"M","Hanging 1","7/22/2018",8,7,7.861566667,0.820433333,0,0,"M","7/14/2018","Late",121,356,"Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4
"37",356,"2",2,"M","Hanging 1","7/30/2018",16,4,8.158916667,1.0205,0,0,"M","7/14/2018","Early",281,356,"Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4
"38",356,"2",2,"M","Hanging 1","8/1/2018",18,6,14.4549,5.824233333,0,0,"M","7/14/2018","Late",281,356,"Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4
"39",356,"2",3,"M","Hanging 1","8/11/2018",28,7,10.90391667,1.636533333,0,0,"M","7/14/2018","Late",264,356,"Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4
"40",356,"1",1,"M","Hanging 1","6/28/2018",15,3,9.359366667,1.046183333,0,1,"M","6/13/2018","Early",147,356,"Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4
"41",356,"1",1,"M","Hanging 1","7/2/2018",19,7,7.64085,0.828483333,0,0,"M","6/13/2018","Late",147,356,"Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4
"42",356,"1",2,"M","Hanging 1","7/6/2018",23,3,10.5329,1.3192,0,0,"M","6/13/2018","Early",227,356,"Y",52.1,51.7,51.9,37.7,36.6,37.15,"-1.1",-0.4
